,code,name,pre_close,volunit,decimal_point,value,type,kind,market,type2,py
296,399688,深成电信,1259.0699462890625,100.0,2.0,,指数板块,指数,0,0,SCDX
297,399689,深成公用,889.6002197265625,100.0,2.0,,指数板块,指数,0,0,SCGY
298,399690,中小专利,2720.98388671875,100.0,2.0,,指数板块,指数,0,0,ZXZL
299,399691,创业专利,2427.57470703125,100.0,2.0,,指数板块,指数,0,0,CYZL
300,399692,创业低波,3231.617919921875,100.0,2.0,,指数板块,指数,0,0,CYDB
301,399693,安防产业,3850.85498046875,100.0,2.0,,指数板块,指数,0,0,AFCY
302,399694,创业高贝,2948.54052734375,100.0,2.0,,指数板块,指数,0,0,CYGB
303,399695,深证节能,2864.46337890625,100.0,2.0,,指数板块,指数,0,0,SZJN
304,399696,深证创投,2897.45556640625,100.0,2.0,,指数板块,指数,0,0,SZCT
305,399697,中关村60,3935.57568359375,100.0,2.0,,指数板块,指数,0,0,ZGC6
306,399698,优势成长,32422.78125,100.0,2.0,,指数板块,指数,0,0,YSCZ
307,399699,金融科技,3631.578857421875,100.0,2.0,,指数板块,指数,0,0,JRKJ
308,399701,深证F60,7898.9580078125,100.0,2.0,,指数板块,指数,0,0,SZF
309,399702,深证F120,7186.79736328125,100.0,2.0,,指数板块,指数,0,0,SZF
310,399703,深证F200,7008.05224609375,100.0,2.0,,指数板块,指数,0,0,SZF
